idiom,definition
trot out,"(idiomatic, transitive) To list or recite quickly. To bring something forward in order to display or use it."
trouble in paradise,"(idiomatic) An unexpected problem in a supposedly positive situation, especially in a marital or romantic relationship."
true believer,"One who believes dogmatically in something regardless of evidence or even conclusive proof that the thing is false or was staged; one who has true-believer syndrome. Used other than with a figurative or idiomatic meaning: see true,‎ believer.: A strict follower of a doctrine."
true blue,"Steadfastly loyal or faithful, unwavering in loyalty. Authentic, undoubtedly true; honest. Used other than with a figurative or idiomatic meaning: see true,‎ blue."
true to form,(idiomatic) According to one's nature; as expected.
truth be told,"(idiomatic) Used when admitting something one might otherwise lie about, e.g. to keep up appearances or be polite. From ""if the truth should be told""."
try one's hand,"(idiomatic) To attempt a skill, craft, trade, or action, possibly for the first time."
try one's luck,"(idiomatic, often with at) To make a risky attempt."
tug of war,"A game or competition in which two teams pull or tug on opposite ends of a rope trying to force the other team over the line which initially marked the middle between the two teams. (idiomatic) A dispute between two parties, particularly an entrenched, back-and-forth dispute."
tune in,"To select a channel, station, etc., as on television or radio. (idiomatic) To pay attention."
tune out,"(idiomatic, transitive, intransitive) To stop paying attention to; to ignore; to zone out. To change the channel or frequency away from."
turf war,A dispute over territory between rival gangs. (idiomatic) A fight or confrontation between two divisions or parties for access to resources or capital.
turkey shoot,"(chiefly US) A hunt or hunting competition, using rifles or shotguns, in which wild turkeys are the prey; a marksmanship contest in which a turkey is the prize. (idiomatic, by extension) A situation in which numerous weapons are discharged against prey, opponents, or victims who have little ability to protect or defend themselves. (idiomatic, by extension) An unequal competitive situation in which one party easily defeats the other(s)."
turn a blind eye,"(idiomatic) To ignore or deliberately overlook, especially with respect to something unpleasant or improper, to look the other way. To knowingly refuse to acknowledge something which you know to be real."
turn a corner,(idiomatic) Alternative form of turn the corner
turn a deaf ear,(idiomatic) To refuse to listen to something.
turn a profit,"(idiomatic) To obtain profit from an investment. (idiomatic, by extension) To gain money or to gain materially."
turn against,"(transitive, idiomatic) To rebel or oppose to something formerly supported. (transitive, intransitive) To set against or in opposition to something. (transitive, idiomatic) To use to the disadvantage or injury of."
turn around,Alternative spelling of turnaround
turn back,"(intransitive) To reverse direction and retrace one's steps. (transitive) To cause to reverse direction and retrace one's steps. To return to a previous state of being. (transitive) To prevent or refuse to allow passage or progress. (transitive) To adjust to a previous setting. (transitive) To fold something back; to fold down. (obsolete, transitive) To give back; to return."
turn down,"(idiomatic) To refuse, decline, or deny. (idiomatic) To reduce the power, etc. of something by means of a control, such as the volume, heat, or light. (idiomatic) To reposition by turning, flipping, etc. in a downward direction."
turn heads,(idiomatic) To garner a considerable amount of attention.
turn in,"(transitive, idiomatic) to submit something; to give (transitive, idiomatic) to relinquish; give up; to tell on someone to the authorities (especially to turn someone in) (intransitive, idiomatic) to go to bed; retire to bed (soccer) To convert a goal using a turning motion of the body."
turn into,"(idiomatic, intransitive) To transform into; become. (idiomatic, transitive) To transform into; cause to become."
turn of events,(idiomatic) A deviation from the expected course of events.
turn of foot,"(horse racing) The ability to accelerate quickly. (horse racing) A burst of speed in a horse race. (by extension) A burst of speed. Used other than with a figurative or idiomatic meaning: see turn,‎ foot."
turn of phrase,"(idiomatic) An expression which is worded in a distinctive way, especially one which is particularly memorable or artful."
turn off,"(transitive) To power down, to put out of operation, to deactivate (an appliance, light, mechanism, functionality etc.). (transitive) To rotate a tap or valve so as to interrupt the outflow of liquid or gas. (transitive) To repulse, disgust, or discourage. (intransitive) To leave a road; to exit."
turn on,"(transitive) To set a flow of fluid or gas running by rotating a tap or valve. [from 19th c.] (transitive) To power up, to put into operation, to start, to activate (an appliance, light, mechanism, functionality etc.). (intransitive, of a device) To start operating; to power up, to become on. [from 19th c.] (transitive) To fill with enthusiasm; to intoxicate, give pleasure to ( + to an object of interest or excitement). [from 20th c.] (transitive) To sexually arouse. [from 20th c.] (transitive, slang) To cause to take up drugs, especially hallucinogens. (intransitive) To violently rebel against; to suddenly attack (this is the intransitive verb turn, with on functioning as a preposition not as an adverbial particle). [from 19th c.] (intransitive) To depend upon; to pivot around, to have as a central subject (this is the intransitive verb turn, with on functioning as a preposition not as an adverbial particle). [from 17th c.]"
turn one's back,"(intransitive, idiomatic) To cease paying attention to something. (intransitive, idiomatic, with ""on"") To forsake, to abandon; to ignore. (intransitive) To turn away, as when fleeing or in contempt."
turn one's nose up,"(idiomatic, with ""at"") Alternative form of turn up one's nose"
turn out,"(intransitive, idiomatic) To result; end up. (intransitive, by ellipsis) To succeed; work out; turn out well. (intransitive, idiomatic) To attend; show up. (transitive, idiomatic) To extinguish a light or other device (intransitive, idiomatic) To become apparent or known, especially (as) it turns out (transitive, idiomatic) To produce; make. (intransitive) To leave a road. (transitive) To remove from a mould, bowl etc. (transitive, idiomatic) To refuse service or shelter; to eject or evict. (sex, transitive, slang) To convince a person (usually a woman) to become a prostitute. (sex, transitive, prison  slang) To rape; to coerce an otherwise heterosexual individual into performing a homosexual role."
turn over,"Used other than with a figurative or idiomatic meaning: see turn,‎ over. To flip over; to rotate uppermost to bottom. (transitive, idiomatic) To relinquish; give back. (transitive, idiomatic) To transfer. (transitive, idiomatic) To produce, complete, or cycle through. (transitive, business) To generate (a certain amount of money from sales). (transitive) To mull, ponder (transitive, intransitive) To spin the crankshaft of an internal combustion engine using the starter or hand crank in an attempt to make it run. (transitive, sports) To give up control (of the ball and thus the ability to score). (transitive) To cause extensive disturbance or disruption to (a room, storage place, etc.), e.g. while searching for an item, or ransacking a property."
turn over a new leaf,(idiomatic) To engage in self-improvement; to begin a good habit or shed a bad habit.
turn someone's head,(idiomatic) To influence someone in a manner that significantly changes his or her behavior. (idiomatic) To attract someone's romantic interest.
turn the corner,(idiomatic) To pass the most critical point of some process; to pass out of danger.
turn the other cheek,(idiomatic) To accept punishment or injury without retaliating.
turn the page,(idiomatic) To move on to new involvements or activities; to make a fresh start. Used other than with a figurative or idiomatic meaning: To proceed to the next page in a book.
turn the screw,(idiomatic) To increase the pressure of a situation
turn the tables,"(idiomatic) To reverse a situation, so that the advantage has shifted to the party which was previously disadvantaged."
turn the tide,"(idiomatic) To make a change, or reversal of general opinion."
turn to,"(said of objects) To become, to degenerate into. To consult for advice or help. Used other than with a figurative or idiomatic meaning: see turn,‎ to."
turn two,"(idiomatic) To reach the age of two years. (idiomatic, baseball) To complete a double play."
turn up,"(intransitive) To show up; to appear suddenly or unexpectedly. (transitive) To cause to appear; to find by searching, etc. (transitive) To increase the amount of something by means of a control, such as the volume, heat, or light. (transitive) To reposition by rotating, flipping, etc. upwards. (transitive, nautical) To belay or make fast a line on a cleat or pin. (intransitive, slang) To party hard, especially when involving alcohol or drugs."
turn upside down,"(transitive, intransitive) To flip over; to rotate top to bottom. (transitive, idiomatic) To thoroughly examine."
turn-off,"(idiomatic) Something that repulses, disgusts, or discourages, especially sexually. A road where one turns off, such as a motorway exit."
turn-on,"(idiomatic) Something that attracts, gives pleasure, or encourages, especially sexually."
twilight years,(idiomatic) Old age.
twist of fate,(idiomatic) An unfortunate turn of events.
twist someone's arm,"Used other than with a figurative or idiomatic meaning: To apply torsion along the length of the arm of (a person). (figuratively) To coerce, force, or cajole."
two cents,"(idiomatic, colloquial) One's opinion or thoughts. (US, idiomatic, colloquial) A nearly worthless amount, alluding to placing a copper penny on each of the eyelids of a pauper's or slave's body before burial."
two for two,"(idiomatic, baseball) In baseball, meeting two out of two attempts at-bat. Specifically, it means the batter has reached base safely two out of two times. (idiomatic) Successful at both of two efforts."
two left feet,"(idiomatic) Clumsiness, especially at dancing or in sports involving kicking a ball."
two thumbs up,(idiomatic) Strong approval. (dated) A hand gesture indicating strong approval.
two-bit,"(US, informal) costing 25 cents (US, idiomatic, slang) insignificant or worthless"
two-edged sword,"A double-edged sword; a benefit that is also a liability. Used other than with a figurative or idiomatic meaning: see two,‎ edged,‎ sword."
two-way street,A street in which traffic is allowed to proceed in two directions. (idiomatic) Any interaction in which both parties give and take equally.
under the influence,"(idiomatic) Intoxicated, inebriated, or otherwise stupefied by an ingested mind-altering substance, typically alcohol; drunk."
under the microscope,(idiomatic) Under close scrutiny or examination.
under the weather,"(idiomatic) Somewhat ill or gloomy. (idiomatic) Somewhat intoxicated or suffering from a hangover. (idiomatic, obsolete) Experiencing adversity."
unknown quantity,(idiomatic) A person or thing whose nature or value is a mystery.
until the cows come home,(idiomatic) For a very long period of time.
up above,"Used other than with a figurative or idiomatic meaning: see up,‎ above. In heaven."
up against,"(idiomatic) Facing; challenging, or opposing. In contact with, abutting."
up and down,"upward and downward, alternately (idiomatic) alternately forwards and backwards along a path (idiomatic) staunchly, unwaveringly, obstinately"
up and running,"(idiomatic) operational, in operation"
up for,"(idiomatic) Willing to participate in; interested in. (idiomatic) Being or due to be evaluated, inspected, judged, considered, sold, etc., in the stated circumstances or by the stated method."
up for grabs,"(idiomatic) Available for anyone to obtain, claim, decide, or win."
up front,"(idiomatic) Open, honest; tending to disclose information; truthful."
up in arms,Armed for battle; prepared for or engaged in warfare. (figuratively) Angry; incensed; preparing for a fight.
up in the air,"Used other than with a figurative or idiomatic meaning: see up,‎ in,‎ the,‎ air."
up on,"(idiomatic, colloquial) Well-informed concerning."
up someone's street,"(informal, idiomatic) Perfectly suitable to someone; matching someone's interests and abilities."
up the ante,"(poker) To raise the stakes of a hand of poker (dispute) To take an action that raises the stakes, i.e. that increases the chances of conflict. (idiomatic) To make something more difficult. (idiomatic) To make something more desirable."
up the creek,(idiomatic) In trouble; in a difficult situation.
up to par,(idiomatic) At the usual or expected level.
up to scratch,(idiomatic) sufficient; adequate; of acceptable or satisfactory quality
up to snuff,"(idiomatic) Adequate; of acceptable quality; satisfying an appropriate standard. (chiefly Britain, dated, idiomatic) Mentally alert, shrewd, savvy."
up to something,(idiomatic) Doing something mischievous or scheming.
up to speed,(idiomatic) Fully informed; current.
up yours,"(vulgar) Expression to show discontent with the other party, or to show contempt. (dismissive, vulgar) Go away! Go to hell!"
up-and-comer,"(idiomatic) someone who is up-and-coming, who has begun to be successful in some field and is likely to become even more successful in the future"
up-and-coming,(idiomatic) emerging; aspiring; beginning to attract attention or critical acclaim
up-to-date,"(before the noun, idiomatic) Current; recent; the latest. (before the noun, idiomatic) Informed about the latest news or developments; abreast."
uphill battle,(idiomatic) A challenge with the odds of success stacked strongly against.
upper crust,"Used other than with a figurative or idiomatic meaning: see upper,‎ crust. The topmost layer of a bread, pastry dish, or other item with a hardened coating. (idiomatic, usually with the) The social elite, the highest social class."
upper-crust,"(idiomatic, informal) Posh, upper-class; pertaining to the upper crust."
ups and downs,"(idiomatic) Periods of positive and negative events, moods, or interactions; highs and lows."
upset the applecart,"(idiomatic) To disorganize or spoil something, especially an established arrangement or plan."
urban fabric,"(idiomatic, literary) The physical aspect of urbanism, emphasizing building types, thoroughfares, open space, frontages, and streetscapes but excluding environmental, functional, economic and sociocultural aspects."
use one's head,"(idiomatic) To think carefully, especially as an alternative to being guided by one's emotions. (humorous) To headbutt."
used to,"(idiomatic, with noun phrase) Accustomed to, tolerant or accepting of."
valley of death,"(idiomatic) Death; or a place or period where death is impending. (idiomatic) A place of great danger. (idiomatic, business) The phase of a startup business beginning with the entrepreneur's fulltime commitment to it and ending when the business has achieved sustainable cash flow."
valley of the shadow of death,"(idiomatic) The world, a place where darkness and death are figurative valleys one must walk through as part of the human experience. (idiomatic) A very dangerous place."
verbal assault,"Often used other than with a figurative or idiomatic meaning: an assault that is verbal. (US, law) Oral or written speech that creates, or is intended to create, a fear of physical harm."
verge on,"(transitive, idiomatic) To approach or come close to something; to border or be on the edge of something."
vertically challenged,"(humorous, euphemistic, of a person) Short."
very good,Used other than with a figurative or idiomatic meaning: very good.
very well,"Used other than with a figurative or idiomatic meaning: see very,‎ well. (idiomatic) Used to weaken the effect of certain modal verbs."
virgin territory,"Land that has never been explored or developed. (idiomatic) By extension, ideas or concepts or activities that have not yet been tried, explored or developed."
voice in the wilderness,"(idiomatic) A person, publication, or other source of assertions that expresses an opinion, doctrine, or point of view which is ignored or rejected by almost all others; the actual utterance of an unpopular opinion, doctrine, or point of view. (idiomatic, rare) An influential religious personage, especially one who makes prophetic utterances."
vote down,"(transitive, idiomatic) To defeat (some measure or candidate) by a majority vote."
vote with one's feet,"(idiomatic) To express one's preferences through one's actions, by voluntarily participating in or withdrawing from an activity, group, or process; especially, by physical migration to leave a situation one does not like, or to move to a situation one regards as more beneficial."
vouch for,(idiomatic) To affirm the truth or reliability of.
wait for it,"(idiomatic, colloquial) Used to draw attention to and build suspense, often ironically, for a remark to come."
wait on,"(Canada, US, colloquial) To wait for an event. To wait for a person. To serve someone; to be a waiter or waitress for a table in a restaurant. (archaic) To attend; to go to see; to visit on business or for ceremony. (archaic) To follow, as a consequence; to await. (archaic) To attend to; to perform. (falconry, of a hawk) To fly above its master, waiting till game is sprung."
wait out,(idiomatic) To wait through (something); wait (through) till the end; patiently endure.
waiting game,(idiomatic) A strategy or course of action in which one or more parties refrain from direct action until circumstances change in their favor.
wake up and smell the coffee,(idiomatic) To face reality and stop deluding oneself.
walk a tightrope,(figuratively) To undertake a precarious course of action.
walk all over,"Used other than with a figurative or idiomatic meaning: see walk,‎ all,‎ over. (transitive, idiomatic, colloquial) To dominate a person or a group; to have a person take a submissive or inferior role. (transitive, idiomatic, colloquial) To easily beat a competitor in a contest; to win without much effort."
walk and chew gum at the same time,"(idiomatic, informal) To do two normally trivial tasks at the same time"
walk away,"Used other than with a figurative or idiomatic meaning: see walk,‎ away. (idiomatic) To withdraw from a problematic situation. To free oneself from a debt such as a mortgage by abandoning the collateral to the lender. To make a strategic default. (idiomatic) To survive a challenging or dangerous situation without harm."
walk away from,"(idiomatic) To abandon or leave; to shun. (idiomatic) To escape (a mishap, accident, etc.) with minimal or no injury."
walk back,"Used other than with a figurative or idiomatic meaning: see walk,‎ back. (transitive) To withdraw or back-pedal on a statement or promise; retract."
walk down the aisle,(idiomatic) to get married
walk free,"(transitive, idiomatic) To go unpunished; to win, or avoid, a criminal court case, particularly when actually guilty."
walk in on,(idiomatic) To enter suddenly or unexpectedly while something is happening; to intrude or interrupt by entering.
walk in the park,Used other than with a figurative or idiomatic meaning: A recreational walk in a park. (idiomatic) Something easy or pleasant.
walk of life,"(idiomatic) An occupation, role, social class, or lifestyle."
walk off with,"(idiomatic) To steal, especially by surreptitiously removing an unguarded item. (idiomatic) To win, as in a contest and especially without significant effort. (idiomatic, performing arts, of a performer) To make the strongest favorable impression in a theatrical or similar performance, in comparison to other performers."
walk on the wild side,"(idiomatic) An occasion or incident involving adventurous, risky, or morally questionable behavior."
walk on water,"Used other than with a figurative or idiomatic meaning: see walk,‎ water. (idiomatic, in hypothetical constructions) To perform godlike or superhuman feats."
walk over,"Used other than with a figurative or idiomatic meaning: to walk over. (idiomatic) To gain an easy victory. (idiomatic, transitive) To dominate, treat (someone) as inferior."
walk the dog,"To take a dog for a walk, so as to give it exercise. (idiomatic, yo-yo) To perform a trick where the yo-yo rolls on the ground, attached to the string. (idiomatic, lacrosse) To perform a trick where the ball rolls down the shaft and is caught in the head of the lacrosse stick."
walk the line,"(idiomatic) To maintain an intermediate position between contrasting choices, opinions, etc. (idiomatic) To behave in an authorized or socially accepted manner, especially as prescribed by law or morality; to exercise self-control. To mark or secure a boundary by walking along it. (idiomatic, US, education) To participate in the procession at a graduation ceremony; to graduate."
walk the plank,"(historical) On a pirate ship, to walk off a plank of wood into the ocean. Used as a method of killing. (figuratively) To be forced to resign from a position in an organization."
walk the talk,"(idiomatic, US) To perform actions consistent with one's claims."
walk the walk,Act consistently with one's claims. Follow through.
walk through,"(idiomatic, transitive) To explain (something) to (someone), step by step. (idiomatic, transitive) To rehearse (something) casually. (idiomatic, transitive) To perform (something) with ease or perfunctorily. Used other than with a figurative or idiomatic meaning: see walk,‎ through."
wall of silence,"(idiomatic) Strict secretiveness maintained by the members of a group with respect to information which might be contrary to their interests, especially information concerning questionable actions by members of the group."
want out,"(intransitive, informal) To want to leave something."
war bride,"A woman who marries a man who is on active military duty in wartime, especially in a foreign country. (idiomatic) A company or individual whose business is increased by warfare."
warm body,"(idiomatic) Any person who is present. Used other than with a figurative or idiomatic meaning: see warm,‎ body."
warm fuzzy,"(informal, chiefly in the plural) A good impression; a feeling of comfort or trust. (informal, chiefly in the plural, often derogatory) A sense of accomplishment after performing a trivial, meaningless or pointless act."
warm-blooded,"(zoology) maintaining a relatively constant and warm body temperature, regardless of the ambient temperature (idiomatic) passionate"
warning shot,"Used other than with a figurative or idiomatic meaning: A shot fired as a warning.. (by extension, figuratively) An action intended to act as a warning."
warts and all,"(idiomatic, often hyphenated) Of or pertaining to a description or other depiction which reveals the full range of characteristics of a person or thing, including the shortcomings and imperfections."
wash one's hands,"Used other than with a figurative or idiomatic meaning: see wash,‎ one's,‎ hands. (idiomatic, euphemistic) to go to the toilet"
wash one's hands of,(idiomatic) To absolve oneself of responsibility or future blame for; to refuse to have any further involvement with.
wash out,"To wash the inside of something. To remove something by washing. To be removed by washing. (idiomatic) To wear away by the flow of water; to erode. (idiomatic) To cancel due to bad weather. (idiomatic) To lose traction while going around a turn, especially in cycling, motorsports and skiing/snowboarding."
washed out,(idiomatic) Very tired and lacking energy. Of colours: faded.
washed up,"(informal) Finished; having no future in a particular role; no longer capable, effective or needed."
waste away,(idiomatic) To lose energy and/or become weak and feeble.
watch it,(idiomatic) To be careful or cautious; to pay attention to what one is doing (usually imperative).
watch one's step,To move cautiously (idiomatic) To be cautious.
watch out,(idiomatic) To be aware or conscious; to look closely or carefully; to use caution. Often used in the imperative.
watch over,(idiomatic) To guard and protect.
watch this space,(idiomatic) An indication that a development will follow.
water can,"Used other than with a figurative or idiomatic meaning: see water,‎ can. Any of several species of Nuphar; the yellow frog lily; so called from the shape of the seed vessel."
water closet,"(chiefly  Britain) A room containing a flush toilet. (Britain) A flush toilet itself. Used other than with a figurative or idiomatic meaning: see water,‎ closet."
water down,To dilute; to add water to. (idiomatic) To make weaker. (idiomatic) To simplify or oversimplify; to make easier; to make less difficult. (idiomatic) To make less restrictive; to make more lenient.
water power,"Used other than with a figurative or idiomatic meaning: see water,‎ power. (uncountable) Mechanical or electrical energy derived from running or falling water; originally obtained from a waterwheel immersed in a stream; modern hydroelectric power is obtained from turbines fed from reservoirs (countable) A site capable of generating power or the right to use a site to generate power."
water under the bridge,"(idiomatic) Something in the past that cannot be controlled or undone, but must be accepted, forgiven, or forgotten."
watered-down,"diluted; containing extra water (colloquial, by extension) Weakened or simplified"
watering hole,A depression in which water collects and where animals come to drink. (idiomatic) A bar or other local drinking establishment.
wave of the hand,"(idiomatic) A simple gesture, as used for command, dismissal, or summoning something as if by magic."
wave the white flag,"(in military combat) To indicate to an opposing force that one is surrendering. (figuratively) To yield, give up, or quit."
way back when,(idiomatic) At a time in the distant past.
weak-kneed,"(figuratively) Lacking will power or strength of character; timid. (literally) Used other than with a figurative or idiomatic meaning: see weak,‎ kneed."
wear down,"To cause (someone) physical or mental fatigue. To eventually persuade or defeat (someone) through persistent effort. Used other than with a figurative or idiomatic meaning: see wear,‎ down."
wear one's heart on one's sleeve,"(idiomatic) To be very transparent, open, or forthright about one's emotions."
wear thin,"(idiomatic) To lessen or weaken over time, as from overuse."
weather the storm,(idiomatic) To reach the end of a very difficult situation without too much harm or damage.
wedding-cake,(idiomatic) Extremely ornate
wee small hours,"(informal) The very early morning, just after midnight, when most people are asleep."
weed out,(idiomatic) to remove unwanted elements from a group
weekend warrior,"A part-time soldier, or reservist (idiomatic) A person who indulges in a sport or pastime on an infrequent basis, usually on weekends when work commitments are not present."
weigh against,(idiomatic) To be disadvantageous to someone.
weigh down,To act as a ballast for. (idiomatic) To be too much for someone to cope with.
weigh in,"(intransitive  with an indication of weight) To undergo a weigh-in. (transitive) To subject to a weigh-in. (intransitive, with ""at"") To weigh. (intransitive, idiomatic) To bring in one's weight, metaphorically speaking, to bear on an issue; frequently construed with on or with."
weight of the world,"(idiomatic) The distressing combined burden of the problems, doubts, imperfections, and responsibilities associated with human existence."
well and good,"(idiomatic) Basically good, but with some shortcoming or limitation."
well and truly,(idiomatic) utterly; completely; without doubt
well done,(idiomatic) Performed well. (cooking) Well-cooked.
well met,(archaic) A greeting.
"well, I never","(idiomatic, dated) An exclamation of great surprise."
well-oiled,(idiomatic) Efficient; efficiently run. (idiomatic) Drunk.
well-padded,"(euphemistic, of a person) Fat, corpulent, pudgy. (idiomatic, of a person) Wealthy, well-to-do."
wet behind the ears,(idiomatic) Inexperienced; just beginning; immature (especially in judgment).
wet blanket,"(idiomatic) A person who takes the fun out of a situation or activity, as by pessimism, demands, dullness, etc. Used other than with a figurative or idiomatic meaning: see wet,‎ blanket."
wet dream,"(idiomatic) An ejaculation or orgasm while asleep, often accompanying an erotic dream. (idiomatic, by extension) An exciting fantasy; a very appealing, ideal thing, person, or state of affairs."
wet one's pants,"(idiomatic) To wet oneself, to urinate in one's clothes while wearing them."
wet the bed,"(idiomatic) To urinate in one's bed (during sleep). (euphemistic) To go bad, to fail (said of machines; a euphemism for shit the bed)."
whack-a-mole,"(idiomatic) The practice of trying to stop something that persistently occurs in an apparently random manner at the point where the occurrence is noticed, such as terminating spammers' e-mail accounts or closing pop-up advertisement windows."
what are the odds,"(idiomatic, rhetorical question) Used to express surprise at an unlikely outcome."
what can I say,(idiomatic) Indicating that nothing that could be said would add to or improve the situation.
what do I know,(rhetorical question) Implies that a statement is based on a guess or assumption rather than on knowledge or evidence.
what do you say,"(idiomatic) Used to ask someone if they are willing to do something. (idiomatic, childish) Used to remind a child to say a polite expression."
what else is new,"(rhetorical question, idiomatic, sarcastic) A rhetorical request for some real news, on hearing a report that was not news because it represents a continuing predictable and unsatisfactory situation."
what for,For what purpose. (colloquial) For what reason; why.
what is more,"(idiomatic) furthermore, or in addition, moreover."
what it takes,"(US, idiomatic) Everything that is required."
what not,"(idiomatic, dated) Something of the kind, whatever (used to terminate a vague list)."
what someone said,"(idiomatic) Used to indicate agreement, as if one would have wanted to say what a previous speaker has said, without change or qualification"
what was that,"(colloquial) What did you just say? Used other than with a figurative or idiomatic meaning: see what,‎ was,‎ that."
what with,(idiomatic) Owing to; because of; as a result of.
what you see is what you get,"The image corresponds to the reality. (idiomatic, computing) The screen image resembles the printed output."
what's cooking,"(idiomatic, informal) A greeting, similar to how are you?; what's happening?; what's up?; what's new? (idiomatic) Expression of concern, asking for an explanation, similar to what's going on?; what's the problem?; what gives?"
what's going on,"(idiomatic) An informal greeting. (idiomatic) Expression of concern, asking for an explanation"
what's in it for me,"(idiomatic) what are the advantages of (something) to me, personally?"
what's new,(idiomatic) The latest developments in a particular situation or a person's life.
what's the difference,"Used other than with a figurative or idiomatic meaning: see what,‎ is,‎ the,‎ difference. (idiomatic) The difference does not matter; so what?"
what's the matter,(idiomatic) What's wrong? What's the problem? (dated) What's happening?  What's the news?
what's up,"(idiomatic, colloquial) What are you doing?; what is happening? (rhetorical question, colloquial) A casual greeting with a meaning similar to how are you? or nice to meet you. (idiomatic, colloquial) What do you need?; How can I help you? (idiomatic, colloquial) What’s the matter?"
what's what,(idiomatic) Precisely what the situation really is or what the facts truly are; the true state of things.
whatever it takes,"(idiomatic, sometimes  euphemistic  for improper behavior) Anything, including measures which may be extreme or wrongful, that is required to achieve an objective."
wheel out,"Used other than with a figurative or idiomatic meaning: see wheel,‎ out. (idiomatic, derogatory) To employ or bring out (something predictable or perennial)."
when all is said and done,(idiomatic) in the end; ultimately
when push comes to shove,"(figuratively, idiomatic) When the pressure is on; when the situation is critical or urgent; when the time has come for action, even if it is difficult."
when the chips are down,(idiomatic) When the pressure is on; when the situation is urgent or critical
where it's at,"(informal) cool, trendy (informal) true, truthful"
whip hand,The hand in which a horse rider holds the whip. (idiomatic) An advantage over another; the dominant position.
whistle for,"(idiomatic) To ask for with no chance of success. Used other than with a figurative or idiomatic meaning: see whistle,‎ for."
whistle-blower,"(idiomatic) One who reports a problem or violation to the authorities; especially, an employee or former employee who reports a violation by an employer."
whistle-stop,(idiomatic) A small train station. (politics) A brief stop on a campaign tour to make a speech or perform some other type of public electioneering.
white elephant,An albino elephant. (idiomatic) A possession that is unwanted or is a financial burden; an unprofitable investment.
white girl,"(US, slang) cocaine Used other than with a figurative or idiomatic meaning: see white,‎ girl."
white hat,"(idiomatic) A good person; a hero. (computing, slang) A well-meaning hacker who hacks for a good cause or to aid a company, organization, or government without causing harm. (slang) A sailor."
white lie,"(idiomatic) A deliberate, untrue statement which is intended to produce a favorable result."
white man,"Used other than with a figurative or idiomatic meaning: see white,‎ man."
white paper,"Used other than with a figurative or idiomatic meaning: see white,‎ paper. (management, marketing) A factual write-up of something, specifically devoid of the appearance of marketing. (Britain, Ireland, European Union, government, politics) A parliamentary document announcing government policy. (European Union) A document published by the European Commission that contains proposals for European Union action in a specific area."
white trash,"(US, idiomatic, derogatory, ethnic slur) A poorly-educated white person or, collectively, white people of low social status."
white wedding,"A traditional wedding ceremony, typically in a church, in which the bride wears a white wedding dress, symbolic of her virginity."
white wine,"Used other than with a figurative or idiomatic meaning: see white,‎ wine. Light-coloured wine (usually yellow with a hint of green but not pink)"
white-knuckle,"(idiomatic) Causing fear, excitement, apprehension, suspense, or nervousness."
who's who,"(countable, sometimes capitalized) A publication containing biographies of well-known or important people. (countable) A list of notable, famous, or upper-class people. (uncountable) Collectively, the elite class. (countable) A person appearing in a Who's Who publication. (countable) A celebrity or famous person, someone likely to be in such a publication. (uncountable, idiomatic) The identities of specific people, understood in terms of such distinguishing characteristics as their backgrounds, prominence, achievements, jobs, etc., as a basis for comparing them and especially as a basis for ranking them within a social group."
whole cloth,"A newly made textile which has not yet been cut. (figuratively, used attributively or preceded by various prepositions) The fictitious material from which complete fabrications, lies with no basis in truth, are made. Something made completely new, with no history, and not based on anything else."
whole shebang,"(idiomatic, with ""the"") Everything; the entire thing."
whys and wherefores,"(set phrase) The reasons or motivations for a fact, action, or decision, especially the complete set of such reasons or motivations."
wide awake,(idiomatic) awake and very alert
wide berth,"(nautical) Adequate distance from sea vessels or other objects to ensure safety and maneuverability. (idiomatic, by extension) A considerable or comfortable distance from a person or object, especially for safety or deliberate avoidance."
wide of the mark,Of a projectile: missing the target. (idiomatic) (Very) inaccurate.
wiggle room,"(informal) The opportunity to make alternative decisions or to pursue other courses of action, especially any involving only minor changes to one's present situation or course."
wild cherry,"Used other than with a figurative or idiomatic meaning: see wild,‎ cherry. The uncultivated cherry tree, Prunus avium, native to Europe and western Asia. Prunus serotina of North America. The fruit of these trees."
wild horses,plural of wild horse (idiomatic) A force not subject to human control and normally stronger than a man.
wild turkey,"A large gamebird, Meleagris gallopavo, native to North America. Used other than with a figurative or idiomatic meaning: see wild,‎ turkey."
wild-goose chase,"(figuratively) A futile search, a fruitless errand; a useless and often lengthy task whose execution is inordinately complex relative to the value of the outcome."
will do,"Used other than with a figurative or idiomatic meaning: see will,‎ do. (by ellipsis) Affirmative yes in response to an especially personal or direct request for the performance of some action."
willful ignorance,"(idiomatic, law) A decision in bad faith to avoid becoming informed about something so as to avoid having to make undesirable decisions that such information might prompt."
win back,"(transitive, idiomatic) To win money that one has previously lost. (transitive, idiomatic) To regain favour (with). (transitive, idiomatic) To get (someone) to be one's partner, after having been apart."
win over,"(transitive, idiomatic) To persuade someone, gain someone's support, or make someone understand the truth or validity of something."
win the day,(idiomatic) to gain complete victory or success over something or someone (idiomatic) to be totally accepted by other people
wind at one's back,(idiomatic) Forward momentum; a boost in one's prospects for success due to favorable events or circumstances.
wind down,"(transitive) To lower by winding something. (intransitive) To slow, as if coming to an end; to become calmer or less busy. (intransitive, idiomatic) To relax; to get rid of stress."
wind off,"(transitive) To unwind, unspool, or unreel something."
